60,140,0.99609,0.33456
418,249,0.99593,0.33416
413,338,0.99601,0.33475
177,425,0.99643,0.33498
359,226,0.99607,0.3352
482,134,0.99599,0.33418
193,363,0.99607,0.33407
169,177,0.99604,0.335
239,173,0.99594,0.33448
288,141,0.99632,0.33507
201,415,0.99612,0.33454
196,351,0.99607,0.33576
242,26,0.99604,0.33401
325,399,0.996,0.33517
47,298,0.99591,0.33441
1,174,0.99609,0.33513
410,204,0.99603,0.33459
205,407,0.99611,0.33419
184,500,0.99616,0.33372
102,501,0.9963,0.3349
134,426,0.99611,0.33465
184,384,0.99607,0.33512
166,286,0.99595,0.33486
384,342,0.99611,0.33455
392,424,0.99614,0.33427
357,393,0.99631,0.33555
399,230,0.99594,0.33465
147,55,0.99625,0.33451
63,260,0.99614,0.3354
435,229,0.99619,0.33488
433,464,0.99594,0.33462
260,132,0.99628,0.33446
45,243,0.99629,0.33505
45,270,0.99611,0.33441
70,337,0.99609,0.33478
91,251,0.99602,0.33457
234,254,0.99619,0.33397
459,3,0.99627,0.33514
246,239,0.9962,0.33458
43,276,0.99611,0.33507
338,304,0.99608,0.33542
115,117,0.99606,0.33508
106,51,0.99585,0.3337
94,27,0.99611,0.33464
362,403,0.99588,0.33501
17,128,0.99618,0.3341
184,227,0.99618,0.33416
4,429,0.996,0.33521
33,424,0.99604,0.33407
359,150,0.99603,0.33502
398,285,0.99617,0.3342
282,157,0.99605,0.33471
239,353,0.99602,0.33531
223,4,0.99602,0.33486
209,306,0.99603,0.33496
290,182,0.996,0.33456
36,143,0.99612,0.33445
310,460,0.99619,0.33477
82,388,0.9959,0.33419
297,450,0.99603,0.33498
429,115,0.99613,0.33503
434,332,0.9962,0.33478
200,90,0.99607,0.33497
1,16,0.99598,0.33416
457,265,0.99608,0.33504
297,117,0.9962,0.33383
478,132,0.99601,0.33455
197,417,0.99636,0.33507
196,481,0.99622,0.33619
123,230,0.99609,0.33557
105,72,0.99607,0.33429
229,346,0.99625,0.3351
125,467,0.99607,0.33503
358,108,0.99615,0.33463
5,201,0.99624,0.33504
412,399,0.99623,0.33477
125,314,0.99604,0.33458
414,154,0.99597,0.33463
197,318,0.99609,0.33465
277,469,0.99615,0.3351
63,372,0.99607,0.33434
197,92,0.99623,0.33422
413,2,0.99611,0.3347
110,460,0.99633,0.3343
322,430,0.99602,0.33441
14,127,0.99586,0.3348
290,88,0.99622,0.33495
226,263,0.99603,0.33478
233,468,0.99612,0.3342
70,248,0.99609,0.33525
157,62,0.99601,0.33513
305,362,0.99621,0.33405
400,21,0.99588,0.33428
291,74,0.99622,0.3348
41,166,0.99598,0.335
500,300,0.9963,0.33452
253,512,0.9961,0.33525
223,386,0.99631,0.33434
314,229,0.99624,0.33454
225,454,0.99609,0.33531
